movieId,releaseDate,Certification,title,genres,Main_director,Duration
23,6 October 1995 (UK),15,Assassins (1995),Action|Crime|Thriller,Richard Donner,2h 12min
24,14 February 1997 (UK),12,Powder (1995),Drama|Sci-Fi,Victor Salva,1h 51min
25,19 January 1996 (UK),18,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,1h 51min
26,16 February 1996 (UK),12,Othello (1995),Drama,Oliver Parker,2h 3min
27,7 June 1996 (UK),PG,Now and Then (1995),Children|Drama,Lesli Linka Glatter,1h 40min
28,Episode aired 16 April 1995,PG,Persuasion (1995),Drama|Romance,Roger Michell,1h 47min
29,1 September 1995 (UK),15,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Marc Caro,1h 52min
30,24 November 1995 (UK),15,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yimou Zhang,1h 48min
31,19 January 1996 (UK),15,Dangerous Minds (1995),Drama,John N. Smith,1h 39min
32,19 April 1996 (UK),15,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Terry Gilliam,2h 9min
34,15 December 1995 (UK),U,Babe (1995),Children|Drama,Chris Noonan,1h 31min
36,29 March 1996 (UK),15,Dead Man Walking (1995),Crime|Drama,Tim Robbins,2h 2min
38,2 May 1997 (UK),PG,It Takes Two (1995),Children|Comedy,Andy Tennant,1h 41min
39,20 October 1995 (UK),12,Clueless (1995),Comedy|Romance,Amy Heckerling,1h 37min
40,27 October 1995 (South Africa),12,"Cry, the Beloved Country (1995)",Drama,Darrell Roodt,1h 46min
41,26 April 1996 (UK),15,Richard III (1995),Drama|War,Richard Loncraine,1h 50min
42,6 September 1996 (UK),18,Dead Presidents (1995),Action|Crime|Drama,Albert Hughes,1h 59min
43,8 March 1996 (UK),15,Restoration (1995),Drama,Michael Hoffman,1h 57min
44,20 October 1995 (UK),15,Mortal Kombat (1995),Action|Adventure|Fantasy,Paul W.S. Anderson,1h 41min
45,27 October 1995 (UK),15,To Die For (1995),Comedy|Drama|Thriller,Gus Van Sant,1h 46min
46,14 June 1996 (UK),15,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,1h 57min
47,5 January 1996 (UK),18,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,David Fincher,2h 7min
48,6 October 1995 (UK),U,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Mike Gabriel,1h 21min
49,10 November 1995 (UK),18,When Night Is Falling (1995),Drama|Romance,Patricia Rozema,1h 34min
50,25 August 1995 (UK),18,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Bryan Singer,1h 46min
52,12 April 1996 (UK),15,Mighty Aphrodite (1995),Comedy|Drama|Romance,Woody Allen,1h 35min
53,9 September 1994 (Italy),,Lamerica (1994),Adventure|Drama,Gianni Amelio,1h 56min
54,29 September 1995 (USA),U,"Big Green, The (1995)",Children|Comedy,Holly Goldberg Sloan,1h 40min
55,19 May 1995 (France),R,Georgia (1995),Drama,Ulu Grosbard,1h 55min
57,6 December 1996 (UK),15,Home for the Holidays (1995),Drama,Jodie Foster,1h 43min
58,20 October 1995 (UK),U,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Michael Radford,1h 48min
60,26 December 1995 (UK),PG,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Frank Oz,1h 36min
61,21 June 1996 (UK),18,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,1h 41min
62,10 May 1996 (UK),PG,Mr. Holland's Opus (1995),Drama,Stephen Herek,2h 23min
63,12 January 1996 (USA),15,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Paris Barclay,1h 29min
64,5 April 1996 (UK),15,Two if by Sea (1996),Comedy|Romance,Bill Bennett,1h 36min
65,12 January 1996 (USA),12,Bio-Dome (1996),Comedy,Jason Bloom,1h 28min
66,29 March 1996 (UK),12,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Farhad Mann,1h 33min
68,1 March 1996 (UK),18,French Twist (Gazon maudit) (1995),Comedy|Romance,Josiane Balasko,1h 44min
69,30 June 1995 (UK),15,Friday (1995),Comedy,F. Gary Gray,1h 31min
70,31 May 1996 (UK),18,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Robert Rodriguez,1h 48min
71,19 January 1996 (UK),15,Fair Game (1995),Action,Andrew Sipes,1h 31min
72,6 October 1995 (USA),15,Kicking and Screaming (1995),Comedy|Drama,Noah Baumbach,1h 36min
73,2 February 1996 (UK),12,"Misérables, Les (1995)",Drama|War,Claude Lelouch,2h 55min
74,16 February 1996 (UK),PG,Bed of Roses (1996),Drama|Romance,Michael Goldenberg,1h 27min
75,26 January 1996 (USA),PG,Big Bully (1996),Comedy|Drama,Steve Miner,1h 30min
76,28 June 1996 (UK),18,Screamers (1995),Action|Sci-Fi|Thriller,Christian Duguay,1h 48min
77,25 October 1996 (UK),,Nico Icon (1995),Documentary,Susanne Ofteringer,1h 10min
78,16 August 1996 (UK),15,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Sean Penn,1h 51min
79,14 June 1996 (UK),18,"Juror, The (1996)",Drama|Thriller,Brian Gibson,1h 58min
80,29 December 1995 (UK),U,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Jafar Panahi,1h 25min
81,3 May 1996 (UK),18,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Gary Fleder,1h 55min
82,20 September 1996 (UK),15,Antonia's Line (Antonia) (1995),Comedy|Drama,Marleen Gorris,1h 42min
83,26 January 1996 (USA),PG,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Tim Reid,1h 55min
85,8 December 1995 (UK),18,Angels and Insects (1995),Drama|Romance,Philip Haas,1h 56min
86,10 May 1996 (UK),12,White Squall (1996),Action|Adventure|Drama,Ridley Scott,2h 9min
87,29 March 1996 (UK),PG,Dunston Checks In (1996),Children|Comedy,Ken Kwapis,1h 28min
88,23 August 1996 (UK),12,Black Sheep (1996),Comedy,Penelope Spheeris,1h 27min
89,16 August 1996 (UK),15,Nick of Time (1995),Action|Thriller,John Badham,1h 30min
92,26 April 1996 (UK),15,Mary Reilly (1996),Drama|Horror|Thriller,Stephen Frears,1h 48min
93,24 May 1996 (UK),15,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Wes Craven,1h 40min
94,29 November 1996 (UK),15,Beautiful Girls (1996),Comedy|Drama|Romance,Ted Demme,1h 52min
95,12 April 1996 (UK),15,Broken Arrow (1996),Action|Adventure|Thriller,John Woo,1h 48min
96,1 December 1995 (UK),15,In the Bleak Midwinter (1995),Comedy|Drama,Kenneth Branagh,1h 39min
97,17 November 1995 (UK),15,"Hate (Haine, La) (1995)",Crime|Drama,Mathieu Kassovitz,1h 38min
99,TV Movie 27 December 1995,15,Heidi Fleiss: Hollywood Madam (1995),Documentary,Nick Broomfield,1h 46min
100,12 April 1996 (UK),15,City Hall (1996),Drama|Thriller,Harold Becker,1h 51min
101,21 February 1996 (USA),15,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Wes Anderson,1h 31min
102,16 February 1996 (USA),PG,Mr. Wrong (1996),Comedy,Nick Castle,1h 36min
103,11 July 1997 (UK),15,Unforgettable (1996),Mystery|Sci-Fi|Thriller,John Dahl,1h 57min
104,19 July 1996 (UK),12,Happy Gilmore (1996),Comedy,Dennis Dugan,1h 32min
105,15 September 1995 (UK),12,"Bridges of Madison County, The (1995)",Drama|Romance,Clint Eastwood,2h 15min
106,12 January 1995 (Germany),15,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Doris Dörrie,1h 44min
107,24 May 1996 (UK),U,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Brian Henson,1h 39min
108,16 May 1996 (Australia),,Catwalk (1996),Documentary,Robert Leacock,1h 35min
110,8 September 1995 (UK),15,Braveheart (1995),Action|Drama|War,Mel Gibson,2h 58min
111,19 August 1976 (UK),X,Taxi Driver (1976),Crime|Drama|Thriller,Martin Scorsese,1h 54min
112,4 July 1997 (UK),15,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Stanley Tong,1h 44min
113,19 April 1996 (UK),12,Before and After (1996),Drama|Mystery,Barbet Schroeder,1h 48min
116,8 June 1995 (USA),PG,Anne Frank Remembered (1995),Documentary,Jon Blair,1h 57min
117,15 September 1995 (UK),15,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Benjamin Ross,1h 39min
118,8 March 1996 (USA),15,If Lucy Fell (1996),Comedy|Romance,Eric Schaeffer,1h 32min
119,13 December 1996 (UK),12,"Steal Big, Steal Little (1995)",Comedy,Andrew Davis,2h 15min
121,TV Movie 6 December 1992,,"Boys of St. Vincent, The (1992)",Drama,John N. Smith,1h 33min
122,30 October 1992 (UK),15,Boomerang (1992),Comedy|Romance,Reginald Hudlin,1h 57min
123,15 September 1995 (UK),12,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Kar-Wai Wong,1h 42min
125,24 January 1997 (UK),15,Flirting With Disaster (1996),Comedy,David O. Russell,1h 32min
126,16 December 1994 (UK),U,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Peter MacDonald,1h 35min
128,8 September 1995 (USA),PG,Jupiter's Wife (1994),Documentary,Michel Negroponte,1h 27min
129,5 January 1996 (UK),15,Pie in the Sky (1996),Comedy|Romance,Bryan Gordon,1h 35min
132,3 November 1995 (UK),18,Jade (1995),Thriller,William Friedkin,1h 35min
135,28 June 1996 (UK),PG-13,Down Periscope (1996),Comedy,David S. Ward,1h 32min
137,15 March 1996 (USA),15,Man of the Year (1995),Documentary,Dirk Shafer,1h 26min
140,21 June 1996 (UK),15,Up Close and Personal (1996),Drama|Romance,Jon Avnet,2h 4min
141,26 April 1996 (UK),15,"Birdcage, The (1996)",Comedy,Mike Nichols,1h 57min
144,8 December 1995 (UK),15,"Brothers McMullen, The (1995)",Comedy,Edward Burns,1h 38min
145,16 June 1995 (UK),18,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Michael Bay,1h 59min
146,25 August 1995 (USA),PG,"Amazing Panda Adventure, The (1995)",Adventure|Children,Christopher Cain,1h 24min
147,24 November 1995 (UK),18,"Basketball Diaries, The (1995)",Drama,Scott Kalvert,1h 42min
148,7 April 1995 (UK),15,"Awfully Big Adventure, An (1995)",Drama,Mike Newell,1h 52min
149,6 January 1995 (UK),15,Amateur (1994),Crime|Drama|Thriller,Hal Hartley,1h 45min
150,22 September 1995 (UK),PG,Apollo 13 (1995),Adventure|Drama|IMAX,Ron Howard,2h 20min
151,19 May 1995 (UK),15,Rob Roy (1995),Action|Drama|Romance|War,Michael Caton-Jones,2h 19min
152,18 April 1997 (UK),18,"Addiction, The (1995)",Drama|Horror,Abel Ferrara,1h 22min
153,14 July 1995 (UK),PG-13,Batman Forever (1995),Action|Adventure|Comedy|Crime,Joel Schumacher,2h 1min
154,26 September 1967 (UK),X,Beauty of the Day (Belle de jour) (1967),Drama,Luis Buñuel,1h 40min
155,30 June 1995 (UK),12,Beyond Rangoon (1995),Adventure|Drama|War,John Boorman,1h 40min
156,17 May 1996 (UK),15,Blue in the Face (1995),Comedy|Drama,Paul Auster,1h 23min
157,20 October 1995 (UK),PG,Canadian Bacon (1995),Comedy|War,Michael Moore,1h 31min
158,28 July 1995 (UK),PG,Casper (1995),Adventure|Children,Brad Silberling,1h 40min
159,9 February 1996 (UK),18,Clockers (1995),Crime|Drama|Mystery,Spike Lee,2h 8min
160,30 June 1995 (UK),12,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Frank Marshall,1h 49min
161,3 November 1995 (UK),15,Crimson Tide (1995),Drama|Thriller|War,Tony Scott,1h 56min
162,7 July 1995 (UK),18,Crumb (1994),Documentary,Terry Zwigoff,1h 59min
163,9 February 1996 (UK),18,Desperado (1995),Action|Romance|Western,Robert Rodriguez,1h 44min
164,12 January 1996 (UK),15,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Carl Franklin,1h 42min
165,18 August 1995 (UK),15,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,John McTiernan,2h 8min
166,18 September 1998 (UK),18,"Doom Generation, The (1995)",Comedy|Crime|Drama,Gregg Araki,1h 23min
168,7 July 1995 (UK),PG,First Knight (1995),Action|Drama|Romance,Jerry Zucker,2h 14min
169,4 August 1995 (UK),U,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Dwight H. Little,1h 35min
170,3 May 1996 (UK),12,Hackers (1995),Action|Adventure|Crime|Thriller,Iain Softley,1h 45min
171,12 April 1996 (UK),18,Jeffrey (1995),Comedy|Drama,Christopher Ashley,1h 32min
172,9 February 1996 (UK),15,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Robert Longo,1h 43min
173,21 July 1995 (UK),15,Judge Dredd (1995),Action|Crime|Sci-Fi,Danny Cannon,1h 36min
174,12 April 1995 (USA),12,Jury Duty (1995),Comedy,John Fortenberry,1h 28min
175,17 May 1996 (UK),,Kids (1995),Drama,Larry Clark,1h 31min
176,10 November 1995 (UK),15,Living in Oblivion (1995),Comedy,Tom DiCillo,1h 30min
177,25 August 1995 (USA),18,Lord of Illusions (1995),Horror,Clive Barker,1h 49min
178,22 July 1994 (UK),18,Love & Human Remains (1993),Comedy|Drama,Denys Arcand,1h 40min
179,24 November 1995 (UK),12,Mad Love (1995),Drama|Romance,Antonia Bird,1h 33min
180,20 October 1995 (USA),18,Mallrats (1995),Comedy|Romance,Kevin Smith,1h 34min
181,21 July 1995 (UK),PG,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Bryan Spicer,1h 35min
183,19 January 1996 (UK),18,Mute Witness (1994),Comedy|Horror|Thriller,Anthony Waller,1h 35min
184,5 April 1996 (UK),15,Nadja (1994),Drama,Michael Almereyda,1h 33min
185,6 October 1995 (UK),12,"Net, The (1995)",Action|Crime|Thriller,Irwin Winkler,1h 54min
186,20 October 1995 (UK),PG-13,Nine Months (1995),Comedy|Romance,Chris Columbus,1h 43min
187,9 June 1995 (USA),R,Party Girl (1995),Comedy,Daisy von Scherler Mayer,1h 34min
188,1 September 1995 (USA),18,"Prophecy, The (1995)",Fantasy|Horror|Mystery,Gregory Widen,1h 38min
189,17 November 1995 (USA),PG-13,Reckless (1995),Comedy|Fantasy,Norman René,1h 31min
190,26 April 1996 (UK),15,Safe (1995),Thriller,Todd Haynes,1h 59min
191,17 November 1995 (UK),15,"Scarlet Letter, The (1995)",Drama|Romance,Roland Joffé,2h 15min
193,12 January 1996 (UK),18,Showgirls (1995),Drama,Paul Verhoeven,2h 8min
194,17 April 1996 (UK),15,Smoke (1995),Comedy|Drama,Wayne Wang,1h 52min
195,5 January 1996 (UK),15,Something to Talk About (1995),Comedy|Drama|Romance,Lasse Hallström,1h 46min
196,29 September 1995 (UK),18,Species (1995),Horror|Sci-Fi,Roger Donaldson,1h 48min
198,1 March 1996 (UK),18,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Kathryn Bigelow,2h 25min
199,24 December 1964 (UK),A,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,Jacques Demy,1h 31min
201,15 December 1995 (UK),PG,Three Wishes (1995),Drama|Fantasy,Martha Coolidge,1h 55min
202,11 April 1997 (UK),18,Total Eclipse (1995),Drama|Romance,Agnieszka Holland,1h 51min
203,10 November 1995 (UK),PG,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Beeban Kidron,1h 49min
204,6 October 1995 (UK),18,Under Siege 2: Dark Territory (1995),Action,Geoff Murphy,1h 40min
205,8 December 1995 (UK),PG,Unstrung Heroes (1995),Comedy|Drama,Diane Keaton,1h 33min
206,19 April 1996 (UK),15,Unzipped (1995),Documentary,Douglas Keeve,1h 13min
207,17 November 1995 (UK),PG,"Walk in the Clouds, A (1995)",Drama|Romance,Alfonso Arau,1h 42min
208,11 August 1995 (UK),12,Waterworld (1995),Action|Adventure|Sci-Fi,Kevin Reynolds,2h 15min
209,7 February 1997 (UK),15,White Man's Burden (1995),Drama,Desmond Nakano,1h 29min
210,5 July 1996 (UK),15,Wild Bill (1995),Western,Walter Hill,1h 38min
211,28 October 1994 (UK),15,"Browning Version, The (1994)",Drama,Mike Figgis,1h 37min
212,4 August 1995 (USA),PG,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Greg Beeman,1h 30min
213,18 August 1995 (UK),15,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Nikita Mikhalkov,2h 15min
214,11 August 1995 (UK),15,Before the Rain (Pred dozhdot) (1994),Drama|War,Milcho Manchevski,1h 53min
215,20 April 1995 (UK),15,Before Sunrise (1995),Drama|Romance,Richard Linklater,1h 41min
216,5 April 1996 (UK),12,Billy Madison (1995),Comedy,Tamra Davis,1h 29min
217,17 October 1995 (USA),18,"Babysitter, The (1995)",Drama|Thriller,Guy Ferland,1h 30min
218,12 May 1995 (UK),15,Boys on the Side (1995),Comedy|Drama,Herbert Ross,1h 55min
219,14 June 1996 (UK),12,"Cure, The (1995)",Drama,Peter Horton,1h 37min
220,Video August 1996,18,Castle Freak (1995),Horror,Stuart Gordon,1h 30min
222,12 May 1995 (UK),15,Circle of Friends (1995),Drama|Romance,Pat O'Connor,1h 43min
223,5 May 1995 (UK),18,Clerks (1994),Comedy,Kevin Smith,1h 32min
224,19 May 1995 (UK),15,Don Juan DeMarco (1995),Comedy|Drama|Romance,Jeremy Leven,1h 37min
225,3 March 1995 (UK),18,Disclosure (1994),Drama|Thriller,Barry Levinson,2h 8min
227,24 March 1995 (UK),R,Drop Zone (1994),Action|Thriller,John Badham,1h 41min
228,23 June 1995 (UK),15,Destiny Turns on the Radio (1995),Comedy,Jack Baran,1h 42min
229,21 April 1995 (UK),18,Death and the Maiden (1994),Drama|Thriller,Roman Polanski,1h 43min
230,8 September 1995 (UK),18,Dolores Claiborne (1995),Drama|Thriller,Taylor Hackford,2h 12min
231,7 April 1995 (UK),12,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Peter Farrelly,1h 47min
232,13 January 1995 (UK),PG,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Ang Lee,2h 4min
233,28 April 1995 (UK),18,Exotica (1994),Drama,Atom Egoyan,1h 43min
234,7 July 1995 (UK),18,Exit to Eden (1994),Comedy,Garry Marshall,1h 53min
235,26 May 1995 (UK),15,Ed Wood (1994),Comedy|Drama,Tim Burton,2h 7min
236,3 November 1995 (UK),12,French Kiss (1995),Action|Comedy|Romance,Lawrence Kasdan,1h 51min
237,29 September 1995 (UK),12,Forget Paris (1995),Comedy|Romance,Billy Crystal,1h 41min
238,7 April 1995 (UK),U,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Phillip Borsos,1h 21min
239,18 October 1996 (UK),U,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,Kevin Lima,1h 18min
240,29 September 1995 (UK),18,Hideaway (1995),Thriller,Brett Leonard,1h 46min
241,2 June 1995 (USA),PG,Fluke (1995),Children|Drama,Carlo Carlei,1h 36min
242,3 November 1995 (UK),15,Farinelli: il castrato (1994),Drama|Musical,Gérard Corbiau,1h 51min
243,12 May 1995 (USA),U,Gordy (1995),Children|Comedy|Fantasy,Mark Lewis,1h 30min
246,7 April 1995 (UK),12,Hoop Dreams (1994),Documentary,Steve James,2h 50min
247,10 February 1995 (UK),18,Heavenly Creatures (1994),Crime|Drama,Peter Jackson,1h 39min
248,6 January 1995 (USA),PG,Houseguest (1994),Comedy,Randall Miller,1h 53min
249,17 March 1995 (UK),15,Immortal Beloved (1994),Drama|Romance,Bernard Rose,2h 1min
250,29 November 1996 (UK),PG,Heavyweights (Heavy Weights) (1995),Children|Comedy,Steven Brill,1h 40min
251,24 February 1995 (USA),18,"Hunted, The (1995)",Action,J.F. Lawton,1h 51min
252,17 March 1995 (UK),U,I.Q. (1994),Comedy|Romance,Fred Schepisi,1h 40min
253,20 January 1995 (UK),18,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Neil Jordan,2h 3min
254,16 June 1995 (UK),12,Jefferson in Paris (1995),Drama,James Ivory,2h 19min
255,3 February 1995 (USA),15,"Jerky Boys, The (1995)",Comedy,James Melkonian,1h 22min
256,9 December 1994 (UK),PG,Junior (1994),Comedy|Sci-Fi,Ivan Reitman,1h 49min
257,31 March 1995 (UK),18,Just Cause (1995),Mystery|Thriller,Arne Glimcher,1h 42min
258,18 February 1996 (UK),PG,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,Michael Gottlieb,1h 29min
259,9 June 1995 (UK),18,Kiss of Death (1995),Crime|Drama|Thriller,Barbet Schroeder,1h 41min
260,29 January 1978 (UK),U,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,George Lucas,2h 1min
261,17 March 1995 (UK),U,Little Women (1994),Drama,Gillian Armstrong,1h 55min
262,9 February 1996 (UK),U,"Little Princess, A (1995)",Children|Drama,Alfonso Cuarón,1h 37min
263,30 September 1994 (UK),18,Ladybird Ladybird (1994),Drama,Ken Loach,1h 41min
265,1 October 1993 (UK),15,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Alfonso Arau,1h 45min
266,28 April 1995 (UK),15,Legends of the Fall (1994),Drama|Romance|War|Western,Edward Zwick,2h 13min
267,24 March 1995 (USA),12,Major Payne (1995),Comedy,Nick Castle,1h 35min
269,24 March 1995 (UK),15,My Crazy Life (Mi vida loca) (1993),Drama,Allison Anders,1h 32min
270,21 October 1994 (USA),12,Love Affair (1994),Drama|Romance,Glenn Gordon Caron,1h 48min
271,17 March 1995 (USA),15,Losing Isaiah (1995),Drama,Stephen Gyllenhaal,1h 51min
272,24 March 1995 (UK),PG,"Madness of King George, The (1994)",Comedy|Drama,Nicholas Hytner,1h 50min
273,4 November 1994 (UK),15,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Kenneth Branagh,2h 3min
274,9 June 1995 (UK),U,Man of the House (1995),Comedy,James Orr,1h 36min
275,21 December 1994 (USA),12,Mixed Nuts (1994),Comedy,Nora Ephron,1h 37min
276,5 May 1995 (UK),12,Milk Money (1994),Comedy|Romance,Richard Benjamin,1h 50min
277,2 December 1994 (UK),U,Miracle on 34th Street (1994),Drama,Les Mayfield,1h 54min
278,30 June 1995 (UK),15,Miami Rhapsody (1995),Comedy,David Frankel,1h 35min
279,6 October 1995 (UK),15,My Family (1995),Drama,Gregory Nava,2h 8min
280,1 December 1995 (UK),15,Murder in the First (1995),Drama|Thriller,Marc Rocco,2h 2min
281,24 March 1995 (UK),15,Nobody's Fool (1994),Comedy|Drama|Romance,Robert Benton,1h 50min
282,10 March 1995 (UK),12,Nell (1994),Drama,Michael Apted,1h 52min
283,19 April 1995 (USA),18,New Jersey Drive (1995),Crime|Drama,Nick Gomez,1h 38min
284,14 August 1993 (Japan),,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,Tôru Murakawa,1h 33min
285,22 April 1994 (UK),18,Beyond Bedlam (1993),Drama|Horror,Vadim Jean,1h 29min
287,3 March 1995 (USA),15,Nina Takes a Lover (1994),Comedy|Romance,Alan Jacobs,1h 40min
288,24 February 1995 (UK),18,Natural Born Killers (1994),Action|Crime|Thriller,Oliver Stone,1h 58min
289,27 January 1995 (UK),PG,Only You (1994),Comedy|Romance,Norman Jewison,1h 49min
290,14 April 1995 (UK),18,Once Were Warriors (1994),Crime|Drama,Lee Tamahori,1h 42min
291,2 February 1996 (Brazil),18,Poison Ivy II (1996),Drama|Thriller,Anne Goursaud,1h 46min
292,28 April 1995 (UK),15,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Wolfgang Petersen,2h 7min
293,3 February 1995 (UK),18,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Luc Besson,1h 50min
294,23 August 1996 (UK),15,"Perez Family, The (1995)",Comedy|Romance,Mira Nair,1h 53min
295,28 April 1995 (USA),PG,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Joshua Brand,1h 34min
296,21 October 1994 (UK),18,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Quentin Tarantino,2h 34min
298,7 December 1991 (Taiwan),12,Pushing Hands (Tui shou) (1992),Drama,Ang Lee,1h 45min
299,17 March 1995 (UK),15,Priest (1994),Drama,Antonia Bird,1h 45min
300,17 March 1995 (UK),15,Quiz Show (1994),Drama,Robert Redford,2h 13min
301,17 January 1997 (UK),PG-13,Picture Bride (Bijo photo) (1994),Drama|Romance,Kayo Hatta,1h 34min
302,13 January 1995 (UK),18,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Patrice Chéreau,2h 39min
303,22 September 1995 (UK),15,"Quick and the Dead, The (1995)",Action|Thriller|Western,Sam Raimi,1h 47min
304,3 March 1995 (USA),12,Roommates (1995),Comedy|Drama,Peter Yates,1h 48min
305,3 March 1995 (UK),15,Ready to Wear (Pret-A-Porter) (1994),Comedy,Robert Altman,2h 13min
306,11 November 1994 (UK),15,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Krzysztof Kieslowski,1h 39min
307,15 October 1993 (UK),15,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Krzysztof Kieslowski,1h 34min
