movieId,title,genres,Main_director,Duration
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,Gregg Araki,1h 23min
168,First Knight (1995),Action|Drama|Romance,Jerry Zucker,2h 14min
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Dwight H. Little,1h 35min
170,Hackers (1995),Action|Adventure|Crime|Thriller,Iain Softley,1h 45min
171,Jeffrey (1995),Comedy|Drama,Christopher Ashley,1h 32min
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Robert Longo,1h 43min
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Danny Cannon,1h 36min
174,Jury Duty (1995),Comedy,John Fortenberry,1h 28min
175,Kids (1995),Drama,Larry Clark,1h 31min
176,Living in Oblivion (1995),Comedy,Tom DiCillo,1h 30min
177,Lord of Illusions (1995),Horror,Clive Barker,1h 49min
178,Love & Human Remains (1993),Comedy|Drama,Denys Arcand,1h 40min
179,Mad Love (1995),Drama|Romance,Antonia Bird,1h 33min
180,Mallrats (1995),Comedy|Romance,Kevin Smith,1h 34min
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Bryan Spicer,1h 35min
183,Mute Witness (1994),Comedy|Horror|Thriller,Anthony Waller,1h 35min
184,Nadja (1994),Drama,Michael Almereyda,1h 33min
185,"Net, The (1995)",Action|Crime|Thriller,Irwin Winkler,1h 54min
186,Nine Months (1995),Comedy|Romance,Chris Columbus,1h 43min
187,Party Girl (1995),Comedy,Daisy von Scherler Mayer,1h 34min
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,Gregory Widen,1h 38min
189,Reckless (1995),Comedy|Fantasy,Norman René,1h 31min
190,Safe (1995),Thriller,Todd Haynes,1h 59min
191,"Scarlet Letter, The (1995)",Drama|Romance,Roland Joffé,2h 15min
193,Showgirls (1995),Drama,Paul Verhoeven,2h 8min
194,Smoke (1995),Comedy|Drama,Wayne Wang,1h 52min
195,Something to Talk About (1995),Comedy|Drama|Romance,Lasse Hallström,1h 46min
196,Species (1995),Horror|Sci-Fi,Roger Donaldson,1h 48min
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Kathryn Bigelow,2h 25min
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,Jacques Demy,1h 31min
201,Three Wishes (1995),Drama|Fantasy,Martha Coolidge,1h 55min
202,Total Eclipse (1995),Drama|Romance,Agnieszka Holland,1h 51min
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Beeban Kidron,1h 49min
204,Under Siege 2: Dark Territory (1995),Action,Geoff Murphy,1h 40min
205,Unstrung Heroes (1995),Comedy|Drama,Diane Keaton,1h 33min
206,Unzipped (1995),Documentary,Douglas Keeve,1h 13min
207,"Walk in the Clouds, A (1995)",Drama|Romance,Alfonso Arau,1h 42min
208,Waterworld (1995),Action|Adventure|Sci-Fi,Kevin Reynolds,2h 15min
209,White Man's Burden (1995),Drama,Desmond Nakano,1h 29min
210,Wild Bill (1995),Western,Walter Hill,1h 38min
211,"Browning Version, The (1994)",Drama,Mike Figgis,1h 37min
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Greg Beeman,1h 30min
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Nikita Mikhalkov,2h 15min
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Milcho Manchevski,1h 53min
215,Before Sunrise (1995),Drama|Romance,Richard Linklater,1h 41min
216,Billy Madison (1995),Comedy,Tamra Davis,1h 29min
217,"Babysitter, The (1995)",Drama|Thriller,Guy Ferland,1h 30min
218,Boys on the Side (1995),Comedy|Drama,Herbert Ross,1h 55min
219,"Cure, The (1995)",Drama,Peter Horton,1h 37min
220,Castle Freak (1995),Horror,Stuart Gordon,1h 30min
222,Circle of Friends (1995),Drama|Romance,Pat O'Connor,1h 43min
223,Clerks (1994),Comedy,Kevin Smith,1h 32min
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Jeremy Leven,1h 37min
225,Disclosure (1994),Drama|Thriller,Barry Levinson,2h 8min
227,Drop Zone (1994),Action|Thriller,John Badham,1h 41min
228,Destiny Turns on the Radio (1995),Comedy,Jack Baran,1h 42min
229,Death and the Maiden (1994),Drama|Thriller,Roman Polanski,1h 43min
230,Dolores Claiborne (1995),Drama|Thriller,Taylor Hackford,2h 12min
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Peter Farrelly,1h 47min
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Ang Lee,2h 4min
233,Exotica (1994),Drama,Atom Egoyan,1h 43min
234,Exit to Eden (1994),Comedy,Garry Marshall,1h 53min
235,Ed Wood (1994),Comedy|Drama,Tim Burton,2h 7min
236,French Kiss (1995),Action|Comedy|Romance,Lawrence Kasdan,1h 51min
237,Forget Paris (1995),Comedy|Romance,Billy Crystal,1h 41min
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Phillip Borsos,1h 21min
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,Kevin Lima,1h 18min
240,Hideaway (1995),Thriller,Brett Leonard,1h 46min
241,Fluke (1995),Children|Drama,Carlo Carlei,1h 36min
242,Farinelli: il castrato (1994),Drama|Musical,Gérard Corbiau,1h 51min
243,Gordy (1995),Children|Comedy|Fantasy,Mark Lewis,1h 30min
246,Hoop Dreams (1994),Documentary,Steve James,2h 50min
247,Heavenly Creatures (1994),Crime|Drama,Peter Jackson,1h 39min
248,Houseguest (1994),Comedy,Randall Miller,1h 53min
249,Immortal Beloved (1994),Drama|Romance,Bernard Rose,2h 1min
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Steven Brill,1h 40min
251,"Hunted, The (1995)",Action,J.F. Lawton,1h 51min
252,I.Q. (1994),Comedy|Romance,Fred Schepisi,1h 40min
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Neil Jordan,2h 3min
254,Jefferson in Paris (1995),Drama,James Ivory,2h 19min
255,"Jerky Boys, The (1995)",Comedy,James Melkonian,1h 22min
256,Junior (1994),Comedy|Sci-Fi,Ivan Reitman,1h 49min
257,Just Cause (1995),Mystery|Thriller,Arne Glimcher,1h 42min
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,Michael Gottlieb,1h 29min
259,Kiss of Death (1995),Crime|Drama|Thriller,Barbet Schroeder,1h 41min
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,George Lucas,2h 1min
261,Little Women (1994),Drama,Gillian Armstrong,1h 55min
262,"Little Princess, A (1995)",Children|Drama,Alfonso Cuarón,1h 37min
263,Ladybird Ladybird (1994),Drama,Ken Loach,1h 41min
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Alfonso Arau,1h 45min
266,Legends of the Fall (1994),Drama|Romance|War|Western,Edward Zwick,2h 13min
267,Major Payne (1995),Comedy,Nick Castle,1h 35min
269,My Crazy Life (Mi vida loca) (1993),Drama,Allison Anders,1h 32min
270,Love Affair (1994),Drama|Romance,Glenn Gordon Caron,1h 48min
271,Losing Isaiah (1995),Drama,Stephen Gyllenhaal,1h 51min
272,"Madness of King George, The (1994)",Comedy|Drama,Nicholas Hytner,1h 50min
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Kenneth Branagh,2h 3min
274,Man of the House (1995),Comedy,James Orr,1h 36min
275,Mixed Nuts (1994),Comedy,Nora Ephron,1h 37min
276,Milk Money (1994),Comedy|Romance,Richard Benjamin,1h 50min
277,Miracle on 34th Street (1994),Drama,Les Mayfield,1h 54min
278,Miami Rhapsody (1995),Comedy,David Frankel,1h 35min
279,My Family (1995),Drama,Gregory Nava,2h 8min
280,Murder in the First (1995),Drama|Thriller,Marc Rocco,2h 2min
281,Nobody's Fool (1994),Comedy|Drama|Romance,Robert Benton,1h 50min
282,Nell (1994),Drama,Michael Apted,1h 52min
283,New Jersey Drive (1995),Crime|Drama,Nick Gomez,1h 38min
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,Tôru Murakawa,1h 33min
285,Beyond Bedlam (1993),Drama|Horror,Vadim Jean,1h 29min
287,Nina Takes a Lover (1994),Comedy|Romance,Alan Jacobs,1h 40min
288,Natural Born Killers (1994),Action|Crime|Thriller,Oliver Stone,1h 58min
289,Only You (1994),Comedy|Romance,Norman Jewison,1h 49min
290,Once Were Warriors (1994),Crime|Drama,Lee Tamahori,1h 42min
291,Poison Ivy II (1996),Drama|Thriller,Anne Goursaud,1h 46min
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Wolfgang Petersen,2h 7min
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Luc Besson,1h 50min
294,"Perez Family, The (1995)",Comedy|Romance,Mira Nair,1h 53min
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Joshua Brand,1h 34min
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Quentin Tarantino,2h 34min
298,Pushing Hands (Tui shou) (1992),Drama,Ang Lee,1h 45min
299,Priest (1994),Drama,Antonia Bird,1h 45min
300,Quiz Show (1994),Drama,Robert Redford,2h 13min
301,Picture Bride (Bijo photo) (1994),Drama|Romance,Kayo Hatta,1h 34min
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Patrice Chéreau,2h 39min
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,Sam Raimi,1h 47min
304,Roommates (1995),Comedy|Drama,Peter Yates,1h 48min
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Robert Altman,2h 13min
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Krzysztof Kieslowski,1h 39min
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Krzysztof Kieslowski,1h 34min
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,Krzysztof Kieslowski,1h 32min
310,Rent-a-Kid (1995),Comedy,Fred Gerber,1h 25min
311,Relative Fear (1994),Horror|Thriller,George Mihalka,1h 34min
312,Stuart Saves His Family (1995),Comedy,Harold Ramis,1h 35min
313,"Swan Princess, The (1994)",Animation|Children,Richard Rich,1h 33min
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,John Sayles,1h 43min
315,"Specialist, The (1994)",Action|Drama|Thriller,Luis Llosa,1h 50min
316,Stargate (1994),Action|Adventure|Sci-Fi,Roland Emmerich,1h 56min
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,John Pasquin,1h 37min
318,"Shawshank Redemption, The (1994)",Crime|Drama,Frank Darabont,2h 22min
319,Shallow Grave (1994),Comedy|Drama|Thriller,Danny Boyle,1h 29min
320,Suture (1993),Film-Noir|Thriller,Scott McGehee,1h 36min
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Tomás Gutiérrez Alea,1h 48min
322,Swimming with Sharks (1995),Comedy|Drama,George Huang,1h 33min
324,"Sum of Us, The (1994)",Comedy|Drama,Geoff Burton,1h 40min
325,National Lampoon's Senior Trip (1995),Comedy,Kelly Makin,1h 31min
326,To Live (Huozhe) (1994),Drama,Yimou Zhang,2h 13min
327,Tank Girl (1995),Action|Comedy|Sci-Fi,Rachel Talalay,1h 44min
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,Ernest R. Dickerson,1h 32min
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,David Carson,1h 58min
330,Tales from the Hood (1995),Action|Crime|Horror,Rusty Cundieff,1h 38min
331,Tom & Viv (1994),Drama,Brian Gilbert,2h 5min
332,Village of the Damned (1995),Horror|Sci-Fi,John Carpenter,1h 38min
333,Tommy Boy (1995),Comedy,Peter Segal,1h 37min
334,Vanya on 42nd Street (1994),Drama,Louis Malle,1h 59min
335,Underneath (1995),Mystery|Thriller,Steven Soderbergh,1h 39min
336,"Walking Dead, The (1995)",Drama|War,Preston A. Whitmore II,1h 28min
337,What's Eating Gilbert Grape (1993),Drama,Lasse Hallström,1h 58min
338,Virtuosity (1995),Action|Sci-Fi|Thriller,Brett Leonard,1h 46min
339,While You Were Sleeping (1995),Comedy|Romance,Jon Turteltaub,1h 43min
340,"War, The (1994)",Adventure|Drama|War,Jon Avnet,2h 6min
341,Double Happiness (1994),Drama,Mina Shum,1h 27min
342,Muriel's Wedding (1994),Comedy,P.J. Hogan,1h 46min
343,"Baby-Sitters Club, The (1995)",Children,Melanie Mayron,1h 34min
344,Ace Ventura: Pet Detective (1994),Comedy,Tom Shadyac,1h 26min
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Stephan Elliott,1h 44min
346,Backbeat (1993),Drama|Musical,Iain Softley,1h 40min
347,Bitter Moon (1992),Drama|Film-Noir|Romance,Roman Polanski,2h 19min
348,Bullets Over Broadway (1994),Comedy,Woody Allen,1h 38min
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Phillip Noyce,2h 21min
350,"Client, The (1994)",Drama|Mystery|Thriller,Joel Schumacher,1h 59min
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,Jessie Nelson,1h 55min
352,Crooklyn (1994),Comedy|Drama,Spike Lee,1h 55min
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,Alex Proyas,1h 42min
354,Cobb (1994),Drama,Ron Shelton,2h 8min
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,Brian Levant,1h 31min
356,Forrest Gump (1994),Comedy|Drama|Romance|War,Robert Zemeckis,2h 22min
357,Four Weddings and a Funeral (1994),Comedy|Romance,Mike Newell,1h 57min
358,Higher Learning (1995),Drama,John Singleton,2h 7min
359,I Like It Like That (1994),Comedy|Drama|Romance,Darnell Martin,1h 44min
360,I Love Trouble (1994),Action|Comedy,Charles Shyer,2h 3min
361,It Could Happen to You (1994),Comedy|Drama|Romance,Andrew Bergman,1h 41min
362,"Jungle Book, The (1994)",Adventure|Children|Romance,Stephen Sommers,1h 51min
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,Ray Müller,3h 3min
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,Roger Allers,1h 28min
365,Little Buddha (1993),Drama,Bernardo Bertolucci,2h 3min
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,Wes Craven,1h 52min
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,Chuck Russell,1h 41min
368,Maverick (1994),Adventure|Comedy|Western,Richard Donner,2h 7min
369,Mrs. Parker and the Vicious Circle (1994),Drama,Alan Rudolph,2h 5min
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,Peter Segal,1h 23min
371,"Paper, The (1994)",Comedy|Drama,Ron Howard,1h 52min
372,Reality Bites (1994),Comedy|Drama|Romance,Ben Stiller,1h 39min
373,Red Rock West (1992),Thriller,John Dahl,1h 38min
374,Richie Rich (1994),Children|Comedy,Donald Petrie,1h 35min
376,"River Wild, The (1994)",Action|Thriller,Curtis Hanson,1h 51min
377,Speed (1994),Action|Romance|Thriller,Jan de Bont,1h 56min
378,Speechless (1994),Comedy|Romance,Ron Underwood,1h 39min
379,Timecop (1994),Action|Sci-Fi|Thriller,Peter Hyams,1h 39min
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,James Cameron,2h 21min
381,When a Man Loves a Woman (1994),Drama|Romance,Luis Mandoki,2h 6min
382,Wolf (1994),Drama|Horror|Romance|Thriller,Mike Nichols,2h 5min
383,Wyatt Earp (1994),Western,Lawrence Kasdan,3h 11min
384,Bad Company (1995),Action|Crime|Drama,Damian Harris,1h 48min
385,"Man of No Importance, A (1994)",Drama,Suri Krishnamma,1h 39min
386,S.F.W. (1994),Drama,Jefery Levy,1h 36min
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,Keenen Ivory Wayans,1h 48min
388,Boys Life (1995),Drama,Robert Lee King,1h 31min
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Yves Angelo,1h 50min
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,Russ Meyer,1h 23min
391,Jason's Lyric (1994),Crime|Drama,Doug McHenry,1h 59min
393,Street Fighter (1994),Action|Adventure|Fantasy,Steven E. de Souza,1h 42min
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,Andrew Morahan,1h 39min
406,Federal Hill (1994),Drama,Michael Corrente,1h 37min
407,In the Mouth of Madness (1995),Horror|Thriller,John Carpenter,1h 35min
408,8 Seconds (1994),Drama,John G. Avildsen,1h 45min
409,Above the Rim (1994),Crime|Drama,Jeff Pollack,1h 36min
410,Addams Family Values (1993),Children|Comedy|Fantasy,Barry Sonnenfeld,1h 34min
412,"Age of Innocence, The (1993)",Drama,Martin Scorsese,2h 19min
